ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
1987,1,timeout,15.0,0.24851760268211365,0.07917919009923935,0.008248571306467056,0.007244764361530542,0.00950010450092576,0.10351722687482834,148.75,339.859619140625
1988,1,timeout,15.0,0.12460671365261078,0.04762478917837143,0.01244625635445118,0.007984654977917671,0.005770292846095975,0.10458694398403168,147.75,375.0647888183594
1989,1,timeout,15.0,0.21368680894374847,0.07171232998371124,0.003437355160713196,0.0064430031925439835,0.007582267883864104,0.10329433530569077,149.25,353.43280029296875
1990,1,timeout,15.0,0.16446441411972046,0.05779601261019707,0.02856624498963356,0.008285566233098507,0.00724877424258206,0.11464852839708328,149.25,343.96661376953125
1991,1,timeout,15.0,0.20316250622272491,0.07095804065465927,0.007498390972614288,0.006880286615341902,0.008196919499354383,0.10665912926197052,149.5,354.8734436035156
1992,1,timeout,15.0,0.20594969391822815,0.0703578069806099,0.013342095538973808,0.007349404972046614,0.008428633108681248,0.10700563341379166,149.25,338.3655090332031
1993,1,timeout,15.0,0.11189518123865128,0.04623626545071602,0.010431389324367046,0.008965177461504936,0.006985293757051892,0.10343097150325775,148.5,372.8804931640625
1994,1,timeout,15.0,0.15677540004253387,0.05716080218553543,0.0035740630701184273,0.007711726240813732,0.0072376057455909104,0.10585466772317886,150.75,372.7061462402344
1995,1,timeout,15.0,0.13109871745109558,0.051393911242485046,0.014037562534213066,0.006529003381729126,0.006347846890835959,0.11212238669395447,148.75,374.0901184082031
1996,1,timeout,15.0,0.2391793131828308,0.07623660564422607,0.0200269166380167,0.007170920260250568,0.008838854450450207,0.1037607192993164,150.0,340.14691162109375
1997,1,timeout,15.0,0.1347663551568985,0.051637522876262665,0.009961298666894436,0.007157867308706045,0.006591832794824216,0.10515658557415009,148.75,368.04400634765625
1998,1,timeout,15.0,0.17395596206188202,0.06472957134246826,0.006650388240814209,0.007402015384286642,0.007986139526077352,0.10765265673398972,149.5,362.3511047363281
1999,1,timeout,15.0,0.2033354490995407,0.07443917542695999,0.0008335094898939133,0.007516264915466309,0.007852106905735918,0.1077873706817627,147.25,351.43743896484375
2000,1,timeout,15.0,0.2366761565208435,0.0906878411769867,0.0014233202673494816,0.006101891864091158,0.008032460015221973,0.10253971815109253,148.5,335.0050354003906
2001,1,timeout,15.0,0.23254631459712982,0.07963505387306213,0.006684903055429459,0.007521662395447493,0.008623020041037637,0.10206890851259232,147.75,347.2691345214844
2002,1,timeout,15.0,0.17773547768592834,0.060714367777109146,0.015057430602610111,0.008116545155644417,0.008515830580220658,0.10653116554021835,149.0,361.7407531738281
